taxonomy_id	name
2748660	Diaporthe sp. HANT25
2769066	Diaporthe sp. DP-2020a
54899	Diaporthe longicolla
2419934	Diaporthe ilicicola
626713	Diaporthe aspalathi
354353	Chrysoporthe austroafricana
2029752	Chrysoporthe sp. MAF-2017a
223192	Phaeoacremonium minimum
1580212	Fusarium sp. JS1030
57150	Fusarium stilboides
57161	Fusarium decemcellulare
43265	Cordyceps javanica
2939533	Lecanicillium sp. S3808
2034171	Trichoderma brevicrassum
702518	Colletotrichum asianum
912113	Colletotrichum tropicale
2596970	Colletotrichum sp. COLG25
110547	Whalleya microplaca
1580213	Xylaria sp. JS573
2614582	Hypoxylon sp. FL1857
117547	Diatrype stigma
2796495	[Phialemoniopsis] sp. UDSM-2020
1871380	Phaeophleospora eucalypticola
858812	Pseudocercospora pini-densiflorae
179343	Pseudocercospora cruenta
2060159	Nothophaeocryptopus gaeumannii
91943	Hortaea werneckii
2907238	Hortaea sp. C3G1500-4
70808	Cladosporium tenuissimum
2259629	Cladosporium sp. SW67
2894516	Lasiodiplodia sp. KE8368
336252	Lasiodiplodia gonubiensis
310453	Neofusicoccum parvum
240345	Dothiorella sarmentorum
2762668	Paracamarosporium sp. OC-R06-R3
132096	Corynespora olivacea
1220191	Aspergillus amoenus
46472	Aspergillus versicolor
182096	Aspergillus chevalieri
70558	Penicillium sumatraense
2899117	Pleurotus ostreatus/Saccharomyces cerevisiae fusant
5315	Ganoderma lucidum
36075	Ganoderma sinense
154344	Ganoderma meredithae
34458	Ganoderma boninense
1226780	Grammothele lineata
306582	Trametes sp. AH28-2
114155	Dichomitus squalens
81058	Tinctoporellus epimiltinus
378272	Irpex rosettiformis
82310	Phlebiopsis gigantea
231932	Phanerochaete carnosa
40483	Fomitopsis pinicola
27342	Schizopora paradoxa
2282107	Pyrrhoderma noxium
718367	Peniophora sp. CBMAI 1063
1883078	Dentipellis sp. KUC8613
2600224	Tulasnella sp. 408
1331295	Auricularia subglabra
5219	Exidia glandulosa
5334	Schizophyllum commune
2175965	Termitomyces sp. MG148
1314803	Dendrothele bispora
64638	Pleurotus salmoneostramineus
206324	Gymnopus luxurians
2175977	Gomphus sp. MG54
76775	Malassezia restricta
223818	Malassezia japonica
40324	Stenotrophomonas maltophilia
339	Xanthomonas campestris
34062	Moraxella osloensis
40215	Acinetobacter junii
70346	Acinetobacter variabilis
216142	Pseudomonas rhizosphaerae
33069	Pseudomonas viridiflava
47885	Pseudomonas oryzihabitans
237610	Pseudomonas psychrotolerans
316	Stutzerimonas stutzeri
59814	Pantoea dispersa
66269	Pantoea stewartii
208223	Kosakonia cowanii
729	Haemophilus parainfluenzae
2760307	Paracoccus sp. MC1862
2500532	Paracoccus sp. Arc7-R13
2589076	Paracoccus sp. AK26
147645	Paracoccus yeei
1545044	Paracoccus sanguinis
59779	Paracoccus marcusii
1945662	Paracoccus contaminans
152682	Sphingomonas melonis
207340	Roseomonas mucosa
257708	Roseomonas gilardii
2018065	Roseomonas sp. FDAARGOS_362
38308	Gluconobacter frateurii
2775420	Skermanella sp. TT6
2861285	Brevundimonas sp. PAMC22021
1312364	Brevundimonas albigilva
293	Brevundimonas diminuta
1296669	Aquabacterium olei
1270	Micrococcus luteus
1179670	Micrococcus sp. KBS0714
2856555	Micrococcus sp. KD337-16
566027	Micrococcus yunnanensis
71999	Kocuria palustris
72000	Kocuria rhizophila
2719588	Kocuria sp. KD4
1049583	Kocuria indica
1275	Kocuria rosea
2047	Rothia dentocariosa
43675	Rothia mucilaginosa
172042	Rothia aeria
36805	Microbacterium aurum
2762331	Dermacoccus sp. PAMC28757
1274	Dermacoccus nishinomiyaensis
857417	Janibacter indicus
2761047	Janibacter sp. YB324
2963431	Janibacter sp. CX7
262209	Janibacter melonis
33889	Brevibacterium casei
1703	Brevibacterium linens
1276	Kytococcus sedentarius
1747	Cutibacterium acnes
33011	Cutibacterium granulosum
2559073	Cutibacterium modestum
1774216	Nocardioides rotundus
38304	Corynebacterium tuberculostearicum
1979527	Corynebacterium kefirresidentii
401472	Corynebacterium ureicelerivorans
38284	Corynebacterium accolens
146827	Corynebacterium simulans
43990	Corynebacterium segmentosum
38289	Corynebacterium jeikeium
2594913	Corynebacterium sanguinis
2054	Gordonia bronchialis
2878678	Gordonia sp. WA4-43
2698900	Gordonia sp. JH63
249058	Gordonia otitidis
2055	Gordonia terrae
1701090	Gordonia hongkongensis
126673	Mycobacterium doricum
1653478	Rhodococcus sp. PBTS 1
712270	Dietzia sp. oral taxon 368
322509	Dietzia kunjamensis
546160	Dietzia lutea
57704	Tsukamurella tyrosinosolvens
2014	Nocardiopsis dassonvillei
2831968	Nocardiopsis sp. HDS12
1861	Geodermatophilus obscurus
1891644	Epidermidibacterium keratini
1282	Staphylococcus epidermidis
29388	Staphylococcus capitis
1290	Staphylococcus hominis
170573	Staphylococcus pettenkoferi
29382	Staphylococcus cohnii
1283	Staphylococcus haemolyticus
28037	Streptococcus mitis
1305	Streptococcus sanguinis
1303	Streptococcus oralis
980427	Deinococcus wulumuqiensis
2080419	Deinococcus sp. NW-56
2584940	Hymenobacter sp. DG01
536441	Chryseobacterium taklimakanense
2487072	Epilithonimonas vandammei
446860	Kocuria flava
169480	Rothia amarae
37923	Rothia kristinae
2763257	Microbacterium sp. YJN-G
2268461	Microbacterium sp. ABRD_28
273677	Microbacterium oleivorans
84292	Microbacterium chocolatum
199592	Microbacterium paraoxydans
2810513	Agrococcus sp. Marseille-Q4369
279828	Microcella alkaliphila
53458	Janibacter limosus
2714941	Phycicoccus sp. HDW14
199591	Brevibacterium luteolum
2575923	Brevibacterium sp. CS2
2571029	Brachybacterium sp. SGAir0954
556288	Brachybacterium saurashtrense
1078471	Serinicoccus profundi
247333	Serinicoccus marinus
2508882	Ornithinimicrobium sp. HY006
2171623	Miniimonas sp. S16
337191	Gordonia sp. KTR9
84096	Gordonia alkanivorans
2420509	Gordonia insulae
43768	Corynebacterium matruchotii
134034	Corynebacterium freneyi
2763010	Corynebacterium lujinxingii
38290	Corynebacterium macginleyi
43769	Corynebacterium propinquum
43770	Corynebacterium striatum
169292	Corynebacterium aurimucosum
1725	Corynebacterium xerosis
47312	Tsukamurella pulmonis
2061	Tsukamurella paurometabola
1795	Mycolicibacterium neoaurum
85693	Mycolicibacterium monacense
758802	Mycolicibacterium litorale
1794	Mycolicibacterium gadium
319706	Mycolicibacterium phocaicum
1804	Mycolicibacterium gilvum
1552759	Mycobacterium grossiae
499555	Dietzia timorensis
139021	Dietzia psychralcaliphila
33010	Cutibacterium avidum
556499	Propionibacterium acidifaciens
2017486	Nocardioides sp. S5
477641	Modestobacter marinus
2851567	Modestobacter sp. L9-4
138336	Blastococcus saxobsidens
2933797	Blastococcus sp. PRF04-17
712122	Actinomyces sp. oral taxon 414
706438	Actinomyces sp. oral taxon 171
712116	Actinomyces sp. oral taxon 169
1655	Actinomyces naeslundii
544580	Actinomyces oris
1660	Schaalia odontolytica
445576	Pseudonocardia sp. AL041005-10
53461	Nakamurella multipartita
1680	Bifidobacterium adolescentis
216816	Bifidobacterium longum
502394	Deinococcus gobiensis
1299	Deinococcus radiodurans
1309411	Deinococcus soli (ex Cha et al. 2016)
1768108	Deinococcus actinosclerus
317577	Deinococcus ficus
68909	Deinococcus geothermalis
1292	Staphylococcus warneri
29385	Staphylococcus saprophyticus
29378	Staphylococcus arlettae
2799680	Staphylococcus sp. 11-B-312
29380	Staphylococcus caprae
